代码,名称,综合评分,动量分,技术分,基本面分,量能分,风险分,板块,已持仓
603255,鼎际得,62.3,55.1,66.5,65.0,65.0,72.0,其他,False
603867,新化股份,62.2,76.6,66.5,45.0,60.0,64.0,其他,False
603270,金帝股份,62.2,61.3,67.5,60.0,70.0,60.0,其他,False
002364,中恒电气,62.2,79.2,70.5,50.0,47.5,56.0,其他,False
601138,工业富联,62.1,56.4,56.5,80.0,65.0,64.0,其他,False
603078,江化微,62.1,86.8,56.5,50.0,60.0,56.0,其他,False
600226,亨通股份,62.1,72.3,66.5,35.0,85.0,64.0,其他,False
603232,格尔软件,62.0,49.6,61.5,70.0,85.0,64.0,其他,False
603688,石英股份,62.0,89.3,70.5,25.0,65.0,56.0,有色金属,False
002196,方正电机,62.0,53.2,73.5,65.0,60.0,64.0,其他,False
601518,吉林高速,61.9,56.0,61.5,65.0,70.0,72.0,其他,False
605020,永和股份,61.9,67.7,62.5,60.0,60.0,64.0,其他,False
000969,安泰科技,61.9,44.7,73.0,60.0,77.5,72.0,其他,False
002442,龙星科技,61.8,94.6,66.5,5.0,85.0,64.0,其他,False
002669,康达新材,61.8,51.0,66.5,65.0,77.5,64.0,其他,False
600999,招商证券,61.7,59.4,60.5,70.0,55.0,72.0,其他,False
603303,得邦照明,61.7,93.4,70.5,5.0,77.5,64.0,其他,False
001332,锡装股份,61.7,61.7,58.5,75.0,55.0,64.0,其他,False
002747,埃斯顿,61.6,80.2,52.5,40.0,85.0,64.0,激光设备,False
600577,精达股份,61.6,57.4,70.5,50.0,70.0,72.0,其他,False
603125,常青科技,61.6,76.5,60.5,70.0,40.0,52.0,其他,False
603124,江南新材,61.5,67.2,52.5,65.0,70.0,64.0,其他,False
603116,红蜻蜓,61.5,83.8,70.5,40.0,47.5,56.0,其他,False
603226,菲林格尔,61.5,95.6,66.5,20.0,55.0,64.0,其他,False
603728,鸣志电器,61.4,53.4,70.5,60.0,60.0,72.0,其他,False
001301,尚太科技,61.4,71.8,73.5,35.0,65.0,64.0,其他,False
600203,福日电子,61.4,51.6,56.5,65.0,85.0,72.0,其他,False
002832,比音勒芬,61.3,67.7,46.5,75.0,55.0,72.0,其他,False
002585,双星新材,61.3,86.8,70.5,35.0,47.5,56.0,其他,False
000997,新 大 陆,61.3,61.0,70.5,40.0,85.0,64.0,其他,False
605111,新洁能,61.2,98.2,66.5,30.0,40.0,56.0,其他,False
603880,南卫股份,61.2,78.1,60.5,35.0,77.5,64.0,其他,False
603730,岱美股份,61.2,91.5,62.5,10.0,77.5,72.0,其他,False
603661,恒林股份,61.2,71.0,61.5,45.0,65.0,72.0,其他,False
603701,德宏股份,61.1,52.8,68.5,65.0,55.0,72.0,其他,False
603790,雅运股份,61.1,73.5,67.5,65.0,70.0,20.0,其他,False
603075,热威股份,61.1,59.4,66.5,45.0,77.5,72.0,其他,False
003019,宸展光电,61.0,80.1,73.5,10.0,85.0,64.0,其他,False
001309,德明利,60.9,74.6,46.5,100.0,40.0,32.0,其他,False
002893,京能热力,60.9,58.5,65.5,60.0,77.5,52.0,其他,False
603693,江苏新能,60.8,83.3,73.5,15.0,77.5,56.0,其他,False
603269,海鸥股份,60.8,82.1,52.5,65.0,55.0,44.0,其他,False
002613,北玻股份,60.8,71.9,81.0,10.0,85.0,64.0,其他,False
603931,格林达,60.8,100.0,66.5,10.0,65.0,56.0,其他,False
600350,山东高速,60.7,74.8,53.5,40.0,77.5,72.0,其他,False
002518,科士达,60.7,76.2,57.5,65.0,47.5,52.0,其他,False
601939,建设银行,60.7,52.8,73.5,45.0,65.0,80.0,其他,False
600303,曙光股份,60.7,73.2,73.5,25.0,85.0,52.0,其他,False
000429,粤高速Ａ,60.6,48.6,73.5,55.0,65.0,72.0,其他,False
600353,旭光电子,60.6,85.4,57.5,40.0,55.0,64.0,其他,False
002886,沃特股份,60.5,68.3,56.5,55.0,67.5,64.0,其他,False
603085,天成自控,60.5,60.5,67.5,65.0,57.5,52.0,其他,False
603213,XD镇洋发,60.5,50.1,73.5,35.0,85.0,80.0,其他,False
002674,兴业科技,60.4,72.3,62.5,30.0,77.5,72.0,其他,False
603002,宏昌电子,60.4,81.5,68.5,35.0,55.0,56.0,其他,False
600596,新安股份,60.4,54.6,61.5,55.0,85.0,64.0,其他,False
000670,盈方微,60.2,60.4,58.5,50.0,85.0,64.0,其他,False
603127,昭衍新药,60.2,57.8,73.5,60.0,65.0,44.0,其他,False
002885,京泉华,60.2,90.5,52.5,50.0,70.0,32.0,元件、被动元件,False
603711,香飘飘,60.1,58.6,67.5,75.0,32.5,60.0,其他,False
000685,中山公用,60.1,56.7,73.5,55.0,70.0,48.0,其他,False
002134,天津普林,60.0,76.4,39.5,65.0,65.0,64.0,其他,False
000811,冰轮环境,60.0,84.0,60.5,50.0,65.0,32.0,其他,False
002443,金洲管道,60.0,81.1,67.5,50.0,47.5,40.0,其他,False
600395,盘江股份,60.0,41.3,73.0,70.0,65.0,60.0,其他,False
002319,乐通股份,59.9,48.0,65.5,60.0,77.5,64.0,其他,False
002032,苏 泊 尔,59.9,50.6,73.5,55.0,55.0,72.0,其他,False
600487,亨通光电,59.9,67.5,58.5,65.0,65.0,44.0,其他,False
000926,福星股份,59.8,63.0,65.5,45.0,70.0,64.0,其他,False
000809,和展能源,59.8,54.9,67.5,65.0,85.0,32.0,其他,False
000695,滨海能源,59.8,60.0,69.0,35.0,85.0,64.0,其他,False
002718,友邦吊顶,59.7,82.0,77.5,10.0,70.0,56.0,其他,False
002067,景兴纸业,59.7,46.9,61.5,60.0,77.5,72.0,其他,False
603155,新亚强,59.7,57.8,60.5,55.0,65.0,72.0,其他,False
603009,北特科技,59.5,73.5,57.5,40.0,70.0,64.0,其他,False
002706,良信股份,59.5,72.5,77.5,25.0,55.0,64.0,其他,False
002979,雷赛智能,59.5,73.9,60.5,70.0,40.0,40.0,其他,False
